cdc_id,PID,title,authors,publication_date,landing_page,pdf_url,local_pdf,screening_status,prevention_score,treatment_score
151020,cdc:151020,Development and Evaluation of the Delivery-Based HEALED Produce Rx Program for Uninsured Patients With Diabetes in Rural Eastern North Carolina,"Sastre\, Lauren R.,Stroud\, Brandon,Smith\, Elisa,Hendrix\, Khadijah,McBride\, Olivia",,https://stacks.cdc.gov/view/cdc/151020,https://stacks.cdc.gov/view/cdc/151020/cdc_151020_DS1.pdf,source_documents/cdc_151020.pdf,Maybe,2,3
150995,cdc:150995,"“Make Stories That Will Always Be There”: Eagle Books’ Appeal, Sustainability, and Contributions to Public Health, 2006–2022","Satterfield\, Dawn,DeBruyn\, Lemyra,Lofton\, Teresa,Francis\, Carolee Dodge,Zoumenou\, Virginie,DeCora\, Lorelei,Wesner\, Chelsea",,https://stacks.cdc.gov/view/cdc/150995,https://stacks.cdc.gov/view/cdc/150995/cdc_150995_DS1.pdf,source_documents/cdc_150995.pdf,Maybe,2,0
84978,cdc:84978,Evidence-Based Interventions for High Blood Pressure and Glycemic Control Among Illinois Health Systems,"Price\, Janae D.,Jayaprakash\, Manasi,McKay\, Cristina M.,Amerson\, Nancy L.,Jimenez\, Paula L.,Barbour\, Kamil E.,Cunningham\, Timothy J.",,https://stacks.cdc.gov/view/cdc/84978,https://stacks.cdc.gov/view/cdc/84978/cdc_84978_DS1.pdf,source_documents/cdc_84978.pdf,Maybe,2,9
52337,cdc:52337,"Implementing Key Drivers for Diabetes Self-Management Education and Support Programs: Early Outcomes, Activities, Facilitators, and Barriers","Morgan\, Jennifer Murphy,Mensa-Wilmot\, Yvonne,Bowen\, Shelly-Ann,Murphy\, Monica,Bonner\, Timethia,Rutledge\, Stephanie,Rutledge\, Gia",,https://stacks.cdc.gov/view/cdc/52337,https://stacks.cdc.gov/view/cdc/52337/cdc_52337_DS1.pdf,source_documents/cdc_52337.pdf,Maybe,2,3
49457,cdc:49457,A Diabetes Pay-for-Performance Program and Risks of Cancer Incidence and Death in Patients With Type 2 Diabetes in Taiwan,"Hsieh\, Hui-Min,He\, Jiun-Shiuan,Shin\, Shyi-Jang,Chiu\, Herng-Chia,Lee\, Charles Tzu-Chi",,https://stacks.cdc.gov/view/cdc/49457,https://stacks.cdc.gov/view/cdc/49457/cdc_49457_DS1.pdf,source_documents/cdc_49457.pdf,Maybe,2,0
26740,cdc:26740,"Factors Associated With Daily Consumption of Sugar-Sweetened Beverages Among Adult Patients at Four Federally Qualified Health Centers, Bronx, New York, 2013","Kristal\, Ross B.,Blank\, Arthur E.,Wylie-Rosett\, Judith,Selwyn\, Peter A.",,https://stacks.cdc.gov/view/cdc/26740,https://stacks.cdc.gov/view/cdc/26740/cdc_26740_DS1.pdf,source_documents/cdc_26740.pdf,Maybe,2,0
19766,cdc:19766,Missed Opportunities for Providing Low-Fat Dietary Advice to People With Diabetes,"Lobo\, Ingrid E.,Loeb\, Danielle F.,Ghushchyan\, Vahram,Schauer\, Irene E.,Huebschmann\, Amy G.",,https://stacks.cdc.gov/view/cdc/19766,https://stacks.cdc.gov/view/cdc/19766/cdc_19766_DS1.pdf,source_documents/cdc_19766.pdf,Maybe,2,0
20165,cdc:20165,From Program to Policy: Expanding the Role of Community Coalitions,"Hill\, Anne,Guernsey De Zapien\, Jill,Staten\, Lisa K,McClelland\, Deborah Jean,Moore-Monroy\, Martha,Meister\, Joel S,Garza\, Rebecca,Elenes\, JoJean,Steinfelt\, Victoria,Tittelbaugh\, Ila,Whitmer\, Evelyn",,https://stacks.cdc.gov/view/cdc/20165,https://stacks.cdc.gov/view/cdc/20165/cdc_20165_DS1.pdf,source_documents/cdc_20165.pdf,Maybe,2,0
4095,cdc:4095,A Six-Step Model for Evaluation of Community-based Physical Activity Programs,"Sarah\, Levin Martin,Heath\, Gregory W",,https://stacks.cdc.gov/view/cdc/4095,https://stacks.cdc.gov/view/cdc/4095/cdc_4095_DS1.pdf,source_documents/cdc_4095.pdf,Maybe,2,0
26741,cdc:26741,Exploring Better Links Between Clinics and Communities to Improve Population Health,"Briss\, Peter A.",,https://stacks.cdc.gov/view/cdc/26741,https://stacks.cdc.gov/view/cdc/26741/cdc_26741_DS1.pdf,source_documents/cdc_26741.pdf,Maybe,1,0
