PID,DS1.mimetype_txt_en,DS7.mimetype_txt_en,DS7.sourceurl,DS15.filesize_tl,DS11.filesize_tl,DS5.filesize_tl,DS1.filesize_tl,DS9.filesize_tl,DS8.sourceurl,DS6.mimetype_txt_en,DS6.sourceurl,DS13.filesize_tl,DS3.filesize_tl,DS13.mimetype_txt_en,DS9.mimetype_txt_en,DS4.filesize_tl,DS14.mimetype_txt_en,DS2.sourceurl,DS7.filesize_tl,DS15.mimetype_txt_en,DS8.mimetype_txt_en,DS4.mimetype_txt_en,DS14.filesize_tl,DS10.filesize_tl,DS3.sourceurl,DS4.sourceurl,mods.type_of_resource,DS6.filesize_tl,DS8.filesize_tl,DS11.mimetype_txt_en,DS5.mimetype_txt_en,DS12.mimetype_txt_en,DS10.mimetype_txt_en,DS5.sourceurl,DS3.mimetype_txt_en,DS2.filesize_tl,DS1.sourceurl,DS12.filesize_tl,DS2.mimetype_txt_en
cdc:47462,application/pdf,,,,,,440681,,,,,,2509,,,47672,,PCD-14-E58.nxml,,,,image/jpeg,,,PCD-14-E58s01.gif,PCD-14-E58s01.jpg,Journal Article,,,,,,,,image/gif,105437,PCD-14-E58.pdf,,text/xml
cdc:49460,application/pdf,,,,,4455,452424,,,image/jpeg,PCD-14-E91s02.jpg,,5113,,,87082,,PCD-14-E91.nxml,,,,image/jpeg,,,PCD-14-E91s01.gif,PCD-14-E91s01.jpg,Journal Article,81548,,,image/gif,,,PCD-14-E91s02.gif,image/gif,55824,PCD-14-E91.pdf,,text/xml
cdc:53200,application/pdf,,,,,,540073,,,,,,5273,,,114645,,PCD-15-E36.nxml,,,,image/jpeg,,,PCD-15-E36s01.gif,PCD-15-E36s01.jpg,Journal Article,,,,,,,,image/gif,138097,PCD-15-E36.pdf,,text/xml
cdc:49457,application/pdf,,,,,,458381,,,,,,2992,,,49988,,PCD-14-E88.nxml,,,,image/jpeg,,,PCD-14-E88s01.gif,PCD-14-E88s01.jpg,Journal Article,,,,,,,,image/gif,113317,PCD-14-E88.pdf,,text/xml
cdc:22055,application/pdf,image/jpeg,,,,68617,731964,,,image/gif,,,82493,,,4036,,,23961,,,image/gif,,,,,Text,3277,,,image/jpeg,,,,text/plain,529,,,text/plain
cdc:4069,application/pdf,,,,,,270181,,,,,,53948,,,,,,,,,,,,,,Journal Article,,,,,,,,text/plain,531,,,text/plain
cdc:4090,application/pdf,,,,,,339540,,,,,,888,,,28312,,PCD31A18.nxml,,,,image/jpeg,,,PCD31A18s01.gif,PCD31A18s01.jpg,Journal Article,,,,,,,,image/gif,63393,PCD31A18.pdf,,text/xml
cdc:4092,application/pdf,,,,,,274773,,,,,,40104,,,,,,,,,,,,,,Journal Article,,,,,,,,text/plain,531,,,text/plain
cdc:4095,application/pdf,,,,,,249917,,,,,,3249,,,84949,,PCD31A24.nxml,,,,image/jpeg,,,PCD31A24s01.gif,PCD31A24s01.jpg,Journal Article,,,,,,,,image/gif,32410,PCD31A24.pdf,,text/xml
cdc:4161,application/pdf,image/jpeg,,,,94320,681547,,,image/gif,,,57726,,,4142,,,131168,,,image/gif,,,,,Journal Article,7145,,,image/jpeg,,,,text/plain,532,,,text/plain
